image_filename,agents::agent_name,agents 2::agent_name,works::work_display_attribution,works::work_title,works::work_style,works::work_culture,works::work_date,image_description
A08-077-0001.jpg,,,,Chauvet Cave,Aurignacian,Paleolithic,"c. 30,000-28,000 BCE","Horses, Rhinoceroses and Aurochs"
A08-077-0003.jpg,,,,Lion-Human,Aurignacian,Paleolithic,"c. 40,000 BCE",
A08-077-0005.jpg,,,,Torso of a Woman,Gravettian,Paleolithic,"c. 23,000 BCE",
A08-077-0007.jpg,,,,Peche-Merle Cave,Gravettian,Paleolithic,"25,000-15,000 BCE",Spotted Horses and Human Hands
A08-077-0011.jpg,,,,Le Tuc d’Audoubert Cave,Magdalenian,Paleolithic,"c. 13,000 BCE",Bison
A08-077-0012.jpg,,,,Lamp with Ibex Design,Magdalenian,Paleolithic,"c. 15,000-13,000 BCE",
A08-077-0013.jpg,,,,People and Animals,,Neolithic European,c. 4000-2000 BCE,
A08-077-0014.jpg,,,,Skara Brae,Megalithic,Neolithic European,"c. 3,100-2,600 BCE",
A08-077-0015.jpg,,,,Skara Brae,Megalithic,Neolithic European,"c. 3,100-2,600 BCE",House interior
A08-077-0016.jpg,,,,Newgrange,Megalithic,Neolithic European,c. 3000-2500 BCE,Passage
A08-077-0017.jpg,,,,Stonehenge,Megalithic,Neolithic European,"c. 2,750-1,500 BCE",
A08-077-0018.jpg,,,,Stonehenge,Megalithic,Neolithic European,"c. 2,750-1,500 BCE",Diagram
A08-077-0019.jpg,,,,Vessels,,Neolithic European,c. 3000-2000 BCE,
A08-077-0020.jpg,,,,Trundholm Sun Chariot ,Late Bronze Age,Nordic Bronze Age,"c. 1,800-1,600 BCE",
A08-077-0021.jpg,,,,Trundholm Sun Chariot ,Late Bronze Age,Nordic Bronze Age,"c. 1,800-1,600 BCE",Diagram of decoration
A08-077-0022.jpg,,,,Openwork Box Lid,La Tène,Celtic,1st c BCE,
A08-077-0023.jpg,,,,Post-and-Lintel and Corbel Construction,,,,
A08-077-0024.jpg,,,,Figure of a Man,,Neolithic European,c. 3500 BCE,
A08-077-0025.jpg,,,,Prehistoric Wall Painting Technique,,Paleolithic,,
A08-077-0026.jpg,,,,Figure of a Woman ,,Neolithic European,c. 3500 BCE,
A08-077-0027.jpg,,,,Prehistoric Europe,,,,
A08-077-0028.jpg,,,,Lamassu (Human-headed winged lion),Assyrian,Mesopotamian,883-859 BCE,
A08-077-0029.jpg,,,,Lamassu (Human-headed winged lion),Assyrian,Mesopotamian,883-859 BCE,
A08-077-0030.jpg,,,,Jericho,,Neolithic Levantine,"c. 8,000-7,000 BCE",Walls and tower
A08-077-0031.jpg,,,,Çatalhöyük (Catal Huyuk),,Neolithic Anatolian,"7,400-6,200 BCE",Reconstruction
A08-077-0032.jpg,,,,Human Figure from Ain Ghazal,,Neolithic Levantine,"c. 7,000-6,000 BCE",
A08-077-0034.jpg,,,,Warka Head,Sumerian,Mesopotamian,"c. 3,300-3,000 BCE",
A08-077-0040.jpg,,,,Cylinder seal: Hero protects flock,Sumerian,Mesopotamian,"c. 2,550-2,400 BCE",
A08-077-0041.jpg,,,,Head of a Man (Akkadian Ruler),Akkadian,Mesopotamian,"c. 2,300-2,200 BCE",
A08-077-0042.jpg,,,,Stele of Naram-Sin,Akkadian,Mesopotamian,c. 2220-2184 BCE,
A08-077-0046.jpg,,,,Citadel and palace complex of Sargon II,Assyrian,Mesopotamian,c. 721-706 BCE,Reconstruction
A08-077-0051.jpg,,,,Persepolis,Achaemenid,Persian,begun c. 515 BCE,Apadana
A08-077-0053.jpg,,,,Daric,Achaemenid,Mesopotamian,4th c BCE,
A08-077-0054.jpg,,,,Lydian Coin,Lydian,Anatolian,560-546 BCE,
A08-077-0055.jpg,,,,Technique: Coining Money,,,,
A08-077-0056.jpg,,,,Lydian Coin,Lydian,Anatolian,560-546 BCE,
A08-077-0057.jpg,,,,Stele of Hammurabi,Babylonian,Mesopotamian,"c. 1,792-1,750 BCE",
A08-077-0058.jpg,,,,Woman Spinning,Babylonian,Mesopotamian,c. 800-600 BCE,
A08-077-0059.jpg,,,,Technique: Cuneiform Writing,,Mesopotamian,,
A08-077-0060.jpg,,,,Ancient Near East,,,,
A08-077-0061.jpg,,,,Funerary Mask of Tutankhamun,New Kingdom (Dynasty XVIII),Egyptian,c. 1327 BCE,
A08-077-0062.jpg,,,,Khafre,Old Kingdom,Egyptian,c. 2520-2494 BCE,
A08-077-0063.jpg,,,,Menkaure and a Queen,Old Kingdom,Egyptian,2490-2472 BCE,
A08-077-0064.jpg,,,,"Pepy II and His Mother, Queen Ankhnes-Meryre",Old Kingdom,Egyptian,c. 2323-2152 BCE,
A08-077-0067.jpg,,,,Head of Senusret III,Middle Kingdom,Egyptian,c. 1938-1755 BCE,
A08-077-0069.jpg,,,,Pectoral of Senusret II,Middle Kingdom,Egyptian,c 1938-1755 BCE,
A08-077-0070.jpg,,,,Hippopotamus,Middle Kingdom,Egyptian,c. 1938-1755 BCE,
